model,brand,company,year,price,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,price_adj,tariff,comp_id,share,sumshare,logshare,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,brand_id,delta0,el,id,tilde_share,tilde_price,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
4x4,Lada,Renault Group,2013,351500,1.7,83,9.9,205,265,SUV,Russia,51693,1,0,0,0,1,351500,0,7,.0051692999,.1418948,-5.1119895,0,0,0,0,0,1,0,0,0,39.799999,14,22.4,2497,797,1534,182.5,65.400002,97.299995,3703,1495,1798,11003,3910,6563,7,-5.350688,1.1303585,11,.0051692999,351500,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,1.6623504e-08,-2.7896649e-10,-1.1356037e-10,-9.6317433e-11,-9.6394302e-11,-6.7003292e-11,-6.8074393e-11,-1.3986506e-10,-8.5043278e-11,-7.3084011e-11,0,0,0,0,0,330985.16,20514.844,.94163626,0
Granta,Lada,Renault Group,2013,289000,1.6,82,7.4,160,520,sedan,Russia,166947,0,0,1,0,1,289000,0,7,.0166947,.1418948,-3.9396353,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,798,1535,182.5,67.900002,99.799995,3703,1540,1843,11003,3655,6308,7,-4.7846932,.91860312,12,.0166947,289000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-2.7896649e-10,5.3065065e-08,-3.6675302e-10,-3.1106548e-10,-3.1131372e-10,-2.1639290e-10,-2.1985214e-10,-4.5170631e-10,-2.7465460e-10,-2.3603114e-10,0,0,0,0,0,330985.13,-41985.125,1.1452773,0
Kalina,Lada,Renault Group,2013,334500,1.6,87,7,145,355,universal,Russia,67960,0,0,0,1,1,334500,0,7,.0067960001,.1418948,-4.8383923,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,793,1530,182.5,68.300003,100.2,3703,1555,1858,11003,3820,6473,7,-5.0359378,1.0739307,13,.0067960001,334500,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-1.1356037e-10,-3.6675302e-10,2.1818934e-08,-1.2662707e-10,-1.2672813e-10,-8.8088210e-11,-8.9496376e-11,-1.8387848e-10,-1.1180511e-10,-9.6082441e-11,0,0,0,0,0,330985.13,3514.875,.98949218,0
Largus,Lada,Renault Group,2013,444000,1.6,84,8.199999999999999,145,560,universal,Russia,57641,0,0,0,1,1,444000,0,7,.0057640998,.1418948,-5.0030775,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,796,1533,182.5,67.100006,99,3703,1555,1858,11003,3615,6268,7,-5.1611876,1.4269675,14,.0057640998,444000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-9.6317433e-11,-3.1106548e-10,-1.2662707e-10,1.8525188e-08,-1.0748581e-10,-7.4712951e-11,-7.5907301e-11,-1.5595848e-10,-9.4828687e-11,-8.1493347e-11,0,0,0,0,0,330985.13,113014.88,.745462,0
Priora,Lada,Renault Group,2013,449000,1.6,98,7.2,165,430,sedan,Russia,57687,0,0,1,0,1,449000,0,7,.0057687,.1418948,-5.0022798,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,782,1519,182.5,68.100006,100,3703,1535,1838,11003,3745,6398,7,-4.9020867,1.4430304,15,.0057687,449000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-9.6394302e-11,-3.1131372e-10,-1.2672813e-10,-1.0748581e-10,1.8539886e-08,-7.4772577e-11,-7.5967885e-11,-1.5608295e-10,-9.4904369e-11,-8.1558385e-11,0,0,0,0,0,330985.16,118014.84,.73716068,0
Samara,Lada,Renault Group,2013,285000,1.6,80,7.6,165,330,sedan,Russia,40098,0,0,1,0,1,285000,0,7,.0040098,.1418948,-5.3659854,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,800,1537,182.5,67.700005,99.599998,3703,1535,1838,11003,3845,6498,7,-5.1160679,.91757506,16,.0040098,285000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-6.7003292e-11,-2.1639290e-10,-8.8088210e-11,-7.4712951e-11,-7.4772577e-11,1.2909799e-08,-5.2804969e-11,-1.0849263e-10,-6.5967641e-11,-5.6690902e-11,0,0,0,0,0,330985.16,-45985.156,1.1613514,0
Qashqai,Nissan,Renault Group,2013,849000,1.6,114,6.6,200,410,SUV,GB,40739,1,0,0,0,0,849000,.25,7,.0040739002,.1418948,-5.3501258,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,766,1503,182.5,68.700005,100.6,3703,1500,1803,11003,3765,6418,10,-5.8749795,2.733232,17,.00325912,679200,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-6.8074393e-11,-2.1985214e-10,-8.9496376e-11,-7.5907301e-11,-7.5967885e-11,-5.2804969e-11,1.3115328e-08,-1.1022698e-10,-6.7022193e-11,-5.7597156e-11,0,0,0,0,0,269113.97,410086.03,.31697759,.30000001
Duster,Renault,Renault Group,2013,584000,1.6,102,7.6,205,475,SUV,Russia,83702,1,0,0,0,1,584000,0,7,.0083702002,.1418948,-4.6300488,0,0,0,0,0,1,0,0,0,39.799999,14.099999,22.5,2497,778,1515,182.5,67.700005,99.599998,3703,1495,1798,11003,3700,6353,12,-5.0888271,1.8719925,18,.0083702002,584000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-1.3986506e-10,-4.5170631e-10,-1.8387848e-10,-1.5595848e-10,-1.5608295e-10,-1.0849263e-10,-1.1022698e-10,2.6830397e-08,-1.3770322e-10,-1.1833862e-10,0,0,0,0,0,330985.13,253014.88,.56675535,0
Logan,Renault,Renault Group,2013,409000,1.4,75,6.9,155,510,sedan,Russia,50894,0,0,1,0,1,409000,0,7,.0050893999,.1418948,-5.1275668,0,0,0,0,0,1,0,0,0,39.799999,14.3,22.699999,2497,805,1542,182.5,68.400002,100.3,3703,1545,1848,11003,3665,6318,12,-5.2308159,1.3153734,19,.0050893999,409000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-8.5043278e-11,-2.7465460e-10,-1.1180511e-10,-9.4828687e-11,-9.4904369e-11,-6.5967641e-11,-6.7022193e-11,-1.3770322e-10,1.6367876e-08,-7.1954380e-11,0,0,0,0,0,330985.13,78014.875,.80925459,0
Sandero,Renault,Renault Group,2013,380000,1.4,75,6.9,155,320,hatchback,Russia,43737,0,1,0,0,1,380000,0,7,.0043736999,.1418948,-5.2791176,0,0,0,0,0,1,0,0,0,39.799999,14.3,22.699999,2497,805,1542,182.5,68.400002,100.3,3703,1545,1848,11003,3855,6508,12,-5.4232526,1.2229865,20,.0043736999,380000,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-7.3084011e-11,-2.3603114e-10,-9.6082441e-11,-8.1493347e-11,-8.1558385e-11,-5.6690902e-11,-5.7597156e-11,-1.1833862e-10,-7.1954380e-11,1.4076252e-08,0,0,0,0,0,330985.13,49014.875,.87101346,0
