model,brand,firm,year,configdeschref,rating,price,price_adj,configuration,period,drive,body,engine_sm,acceleration,clearance,maxspeed,country,seats,size,wheelbase,weight,fuelcons_city,fuelcons_rural,fuelcons_mix,ac,month_start,month_end,year_start,year_end,drive1,drive2,body1,body2,body3,body4,body_SUV,body_hatch,transmission,extra,engine,russia_prod,russia_prod_alt,length,width,height,fuelcons,trunk,horsepower,size2,gen,restyle,russia,months_sold,mainid,quantity,model_orig,brand_orig,firm_id,firm1,firm2,firm3,firm4,firm5,firm6,firm7,firm8,firm9,national,europe,japan,usa,korea,brand1,brand2,brand3,brand4,brand5,brand6,brand7,brand8,brand9,brand10,brand11,brand12,brand13,brand14,brand15,brand16,y2013,y2014,y2015,y2016,y2017,time,tariff_sh,tax_var,euro,price_euro,tax_fixed,tariff_min,share,sumshare,outshare,logshare,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,alpha,a,delta0,el,id,tilde_share,tilde_price,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup_pure,mc,margins,lnmc
Qashqai,Nissan,Renault Group,2013,https://www.drom.ru/catalog/nissan/qashqai/60517/,8.5,789,789,1.6 MT XE,март 2010 - ноябрь 2013,Передний,SUV,1598,11.8,200,178,Великобритания,5,4330 x 1780 x 1615,2630,1297,8.3000002,5.5999999,"6,6",1,3,11,2010,2013,1,0,1,0,0,0,1,0,0,0,1.6,0,0,4330,1780,1615,6.6,410,114,7.7073998,1,1,0,11,45,40739,Qashqai,Nissan,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.25,197250,31.848,24773.926,986249.94,197250,.008999086,.31344008,.68655992,-4.3345704,40.200001,14.099999,24.5,2531,756,1661,181.60001,68.800003,106.2,4181,1515,2466,11280,3765,7105,-.00080897001,1,-4.6396279,-.63253343,11,.0071992688,631.20001,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,7.2144771e-06,-1.3460298e-07,-8.1843737e-08,-7.0334409e-08,-8.3128626e-08,-2.6847107e-07,-1.0928794e-07,-9.2693732e-08,-9.2767706e-08,-6.4482457e-08,0,0,0,0,0,1197.6948,-566.49481,1.5179909,
Duster,Renault,Renault Group,2013,https://www.drom.ru/catalog/renault/duster/65576/,8.1999998,584,584,1.6 MT 4x2 Authentique,январь 2010 - май 2015,Передний,SUV,1598,11.5,205,164,Россия,5,4315 x 1822 x 1625,2673,1205,9.8000002,6.5,"7,6",0,1,5,2010,2015,1,0,1,0,0,0,1,0,0,0,1.6,1,1,4315,1822,1625,7.6,475,102,7.8619299,1,,1,12,53,83702,Duster,Renault,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,18337.102,0,0,.018489445,.31344008,.68655992,-3.6144936,40.200001,14.099999,24.5,2531,768,1661,181.60001,67.800003,106.2,4181,1510,2466,11280,3700,7105,-.00080897001,1,-4.4737887,-.46370336,12,.018489445,584,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-1.3460298e-07,.000014680852,-1.6815544e-07,-1.4450848e-07,-1.7079536e-07,-5.5159836e-07,-2.2454205e-07,-1.9044774e-07,-1.9059974e-07,-1.3248510e-07,0,0,0,0,0,1444.9229,-860.92285,2.4741831,
Logan,Renault,Renault Group,2013,https://www.drom.ru/catalog/renault/logan/67084/,7.8000002,409,409,1.4 MT Authentique,сентябрь 2009 - июнь 2016,Передний,Седан,1390,13,155,162,Россия,4,4288 x 1740 x 1534,2630,975,9.3999996,5.5,"6,9",0,9,6,2009,2016,1,0,0,1,0,0,0,0,0,0,1.4,1,1,4288,1740,1534,6.9,510,75,7.4611201,1,1,1,12,59,50894,Logan,Renault,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,12842.251,0,0,.011242286,.31344008,.68655992,-4.1120114,40.200001,14.3,24.5,2531,795,1661,181.60001,68.5,106.2,4181,1560,2466,11280,3665,7105,-.00080897001,1,-4.3322191,-.327149,13,.011242286,409,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-8.1843737e-08,-1.6815544e-07,8.9924279e-06,-8.7866653e-08,-1.0385008e-07,-3.3539280e-07,-1.3653012e-07,-1.1579947e-07,-1.1589189e-07,-8.0555985e-08,0,0,0,0,0,1444.9227,-1035.9227,3.5328183,
Sandero,Renault,Renault Group,2013,https://www.drom.ru/catalog/renault/sandero/67072/,8,380,380,1.4 MT Authentique,декабрь 2009 - август 2014,Передний,Хэтчбек,1390,13,155,162,Россия,5,4020 x 1746 x 1534,2588,1172,9.3999996,5.5,"6,9",0,12,8,2009,2014,1,0,0,0,0,1,0,1,0,0,1.4,1,1,4020,1746,1534,6.9,320,75,7.0189199,1,,1,12,64,43737,Sandero,Renault,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,31.848,11931.676,0,0,.0096613327,.31344008,.68655992,-4.2635617,40.200001,14.3,24.5,2531,795,1661,181.60001,68.5,106.2,4181,1560,2466,11280,3855,7105,-.00080897001,1,-4.3087592,-.30443862,14,.0096613327,380,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-7.0334409e-08,-1.4450848e-07,-8.7866653e-08,7.7402183e-06,-8.9246100e-08,-2.8822797e-07,-1.1733049e-07,-9.9515098e-08,-9.9594523e-08,-6.9227745e-08,0,0,0,0,0,1444.9227,-1064.9227,3.8024282,
4x4 2121 Нива,Лада,Renault Group,2013,https://www.drom.ru/catalog/lada/2121_4x4_niva/69869/,7.3000002,351.5,351.5,Стандарт 21214-40-026,апрель 2006 - март 2014,Полный (4WD),SUV,1690,17,205,142,Россия,3,3740 x 1680 x 1640,2200,1285,12.1,8.3000002,"9,9",0,4,3,2006,2014,0,1,1,0,0,0,1,0,0,1,1.7,1,1,3740,1680,1640,9.9,265,83,6.2831998,1,,1,12,95,51693,4x4,Lada,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.848,11036.8,0,0,.011418782,.31344008,.68655992,-4.0964341,40.200001,14,24.5,2531,787,1661,181.60001,65.5,106.2,4181,1510,2466,11280,3910,7105,-.00080897001,1,-4.2857032,-.281106,15,.011418782,351.5,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-8.3128626e-08,-1.7079536e-07,-1.0385008e-07,-8.9246100e-08,9.1319716e-06,-3.4065823e-07,-1.3867354e-07,-1.1761745e-07,-1.1771132e-07,-8.1820652e-08,0,0,0,0,0,1444.9227,-1093.4227,4.110733,
Гранта,Лада,Renault Group,2013,https://www.drom.ru/catalog/lada/granta/68820/,7.8000002,289,289,1.6 MT Стандарт,декабрь 2011 - декабрь 2014,Передний,Седан,1596,12.6,160,165,Россия,4,4260 x 1700 x 1500,2476,1160,,,"7,4",0,12,12,2011,2014,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4260,1700,1500,7.4,520,82,7.2420001,1,,1,12,102,166947,Granta,Lada,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.848,9074.3535,0,0,.036877941,.31344008,.68655992,-2.9240799,40.200001,14.099999,24.5,2531,788,1661,181.60001,68,106.2,4181,1555,2466,11280,3655,7105,-.00080897001,1,-4.2351427,-.22517055,16,.036877941,289,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-2.6847107e-07,-5.5159836e-07,-3.3539280e-07,-2.8822797e-07,-3.4065823e-07,.000028732964,-4.4785816e-07,-3.7985569e-07,-3.8015884e-07,-2.6424686e-07,0,0,0,0,0,1444.9227,-1155.9227,4.9997325,
Калина,Лада,Renault Group,2013,https://www.drom.ru/catalog/lada/kalina/69540/,7.5999999,327.5,327.5,1.6 MT Стандарт,апрель 2013 - ноябрь 2014,Передний,Хэтчбек,1596,12.4,160,165,Россия,5,3893 x 1700 x 1500,2476,1160,,,"7,0",0,4,11,2013,2014,1,0,0,0,0,1,0,1,0,0,1.6,1,1,3893,1700,1500,7,240,87,6.6181002,2,,1,9,107,67960,Kalina,Lada,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.848,10283.221,0,0,.015012098,.31344008,.68655992,-3.8228371,40.200001,14.099999,24.5,2531,783,1661,181.60001,68.400002,106.2,4181,1555,2466,11280,3935,7105,-.00080897001,1,-4.2662883,-.2609604,17,.015012098,327.5,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-1.0928794e-07,-2.2454205e-07,-1.3653012e-07,-1.1733049e-07,-1.3867354e-07,-4.4785816e-07,.000011962025,-1.5462986e-07,-1.5475327e-07,-1.0756836e-07,0,0,0,0,0,1444.9227,-1117.4227,4.4119778,
Ларгус,Лада,Renault Group,2013,https://www.drom.ru/catalog/lada/largus/68815/,8.1999998,444,444,Стандарт KS015-40-000 5 мест,июль 2012 - февраль 2015,Передний,Универсал,1598,14.5,145,156,Россия,5,4470 x 1750 x 1636,2905,1260,,,"8,2",0,7,2,2012,2015,1,0,0,0,1,0,0,1,0,0,1.6,1,1,4470,1750,1636,8.199999999999999,560,84,7.8225002,1,,1,12,112,57641,Largus,Lada,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.848,13941.221,0,0,.012732672,.31344008,.68655992,-3.9875221,40.200001,14.099999,24.5,2531,786,1661,181.60001,67.200005,106.2,4181,1570,2466,11280,3615,7105,-.00080897001,1,-4.3605332,-.35460931,18,.012732672,444,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-9.2693732e-08,-1.9044774e-07,-1.1579947e-07,-9.9515098e-08,-1.1761745e-07,-3.7985569e-07,-1.5462986e-07,.000010169199,-1.3125563e-07,-9.1235258e-08,0,0,0,0,0,1444.9227,-1000.9227,3.2543304,
Приора,Лада,Renault Group,2013,https://www.drom.ru/catalog/lada/priora/92891/,7.9000001,334,334,1.6 МТ Стандарт 21702-20-040,декабрь 2011 - сентябрь 2013,Передний,Седан,1596,12.5,165,176,Россия,4,4350 x 1680 x 1420,2492,1185,,,"7,3",0,12,9,2011,2013,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4350,1680,1420,7.3,430,87,7.3080001,1,,1,9,117,57687,Priora,Lada,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.848,10487.314,0,0,.012742833,.31344008,.68655992,-3.9867244,40.200001,14.099999,24.5,2531,783,1661,181.60001,68.099998,106.2,4181,1550,2466,11280,3745,7105,-.00080897001,1,-4.2715464,-.26675293,19,.012742833,334,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-9.2767706e-08,-1.9059974e-07,-1.1589189e-07,-9.9594523e-08,-1.1771132e-07,-3.8015884e-07,-1.5475327e-07,-1.3125563e-07,.000010177209,-9.1308067e-08,0,0,0,0,0,1444.9227,-1110.9227,4.3261161,
Самара Седан,Лада,Renault Group,2013,https://www.drom.ru/catalog/lada/samara_sedan/69482/,7.4000001,305,305,Стандарт 21154-40-022,март 2007 - май 2013,Передний,Седан,1596,13,165,160,Россия,4,4330 x 1650 x 1415,2460,1425,7.5999999,,,0,3,5,2007,2013,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4330,1650,1415,7.6,445,81,7.1444998,2,,1,5,121,40098,Samara,Lada,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,31.848,9576.7393,0,0,.0088574914,.31344008,.68655992,-4.35043,40.200001,14.099999,24.5,2531,789,1661,181.60001,67.800003,106.2,4181,1550,2466,11280,3730,7105,-.00080897001,1,-4.2480865,-.24455039,20,.0088574914,305,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,-6.4482457e-08,-1.3248510e-07,-8.0555985e-08,-6.9227745e-08,-8.1820652e-08,-2.6424686e-07,-1.0756836e-07,-9.1235258e-08,-9.1308067e-08,7.1019772e-06,0,0,0,0,0,1444.9227,-1139.9227,4.7374516,
Camry,Toyota,Toyota Group,2013,https://www.drom.ru/catalog/toyota/camry/69202/,8.6000004,969,969,2.0 4AT Standard,май 2012 - ноябрь 2014,Передний,Седан,1998,12.5,160,190,Россия,4,4825 x 1825 x 1480,2775,1505,11.4,6.5,"8,3",1,5,11,2012,2014,1,0,0,1,0,0,0,0,1,1,2,1,1,4825,1825,1480,8.300000000000001,506,148,8.805625,8,,1,12,77,32895,Camry,Toyota,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,31.848,30425.773,0,0,.0072663771,.31344008,.68655992,-4.5484357,40.200001,3.3000002,34.900002,2531,245,2138,181.60001,13.3,160,4181,347,3674,11280,958,9816,-.00080897001,1,-4.7852426,-.77819586,21,.0072663771,969,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8355672e-06,-3.9790908e-08,-5.1790249e-08,0,0,1261.0991,-292.09912,1.3014439,
Corolla,Toyota,Toyota Group,2013,https://www.drom.ru/catalog/toyota/corolla/72810/,8.1999998,891,891,1.33 MT Стандарт,сентябрь 2013 - июль 2016,Передний,Седан,1329,12.6,150,180,Турция,4,4620 x 1775 x 1465,2700,1225,7.1999998,4.6999998,"5,6",1,9,7,2013,2016,1,0,0,1,0,0,0,0,0,0,1.3,0,0,4620,1775,1465,5.6,452,99,8.2004995,1,,0,4,82,30644,Corolla,Toyota,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.25,222750,31.848,27976.639,980100,222750,.0067691403,.31344008,.68655992,-4.6193194,40.200001,4,34.900002,2531,294,2138,181.60001,16,160,4181,357,3674,11280,1012,9816,-.00080897001,1,-4.7221427,-.71591312,22,.005415312,712.79999,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9790908e-08,5.4389634e-06,-4.8246253e-08,0,0,1013.8711,-301.07111,1.1379025,
RAV4,Toyota,Toyota Group,2013,https://www.drom.ru/catalog/toyota/rav4/71930/,8.5,1288,1288,2.0 MT 2WD Стандарт,февраль 2013 - декабрь 2015,Передний,SUV,1986,10.2,197,180,Япония,5,4570 x 1845 x 1670,2660,1540,,,"7,7",1,2,12,2013,2015,1,0,1,0,0,0,1,0,0,0,2,0,0,4570,1845,1670,7.7,506,146,8.4316502,4,,0,11,84,39885,RAV 4,Toyota,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.25,322000,31.848,40442.102,0,0,.008810441,.31344008,.68655992,-4.3557558,40.200001,3.3000002,34.900002,2531,247,2138,181.60001,13.900001,160,4181,310,3674,11280,958,9816,-.00080897001,1,-5.043304,-1.0327733,23,.0070483526,1030.4,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1790249e-08,-4.8246253e-08,7.0645870e-06,0,0,1013.8712,16.52887,.78716707,2.8051085
Octavia,Skoda,Volkswagen AG,2013,https://www.drom.ru/catalog/skoda/octavia/65353/,8.6999998,574,574,1.4 MPI MT Active,ноябрь 2011 - июнь 2013,Передний,Хэтчбек,1390,14.2,164,173,"Россия, Чехия",5,4569 x 1769 x 1462,2578,1255,9.6000004,5.5999999,"7,0",0,11,6,2011,2013,1,0,0,0,0,1,0,1,0,0,1.4,1,0,4569,1769,1462,7,560,80,8.0825605,2,1,1,6,69,32153,Octavia A5,Skoda,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,31.848,18023.109,0,0,.0071024722,.31344008,.68655992,-4.5712504,40.200001,1.6,37.200001,2531,105,2346,181.60001,6.3999996,168.20001,4181,170,3847,11280,460,10260,-.00080897001,1,-4.4656992,-.46105075,24,.0071024722,574,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7048783e-06,-9.2099491e-08,1265.411,-691.41101,2.2045488,
Polo,Volkswagen,Volkswagen AG,2013,https://www.drom.ru/catalog/volkswagen/polo/65094/,8.3999996,599.9,599.90002,1.6 MPI MT Trendline,сентябрь 2010 - июль 2015,Передний,Седан,1598,10.5,170,190,Россия,4,4384 x 1699 x 1465,2552,1159,8.6999998,5.0999999,"6,4",0,9,7,2010,2015,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4384,1699,1465,6.4,460,105,7.4484162,5,,1,12,89,72565,Polo,VW,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,31.848,18836.348,0,0,.016029326,.31344008,.68655992,-3.7572737,40.200001,1.4,37.200001,2531,80,2346,181.60001,6.9999995,168.20001,4181,164,3847,11280,560,10260,-.00080897001,1,-4.4866514,-.47752208,25,.016029326,599.90002,.014831406,.012009459,.011783482,.0063834554,.0092864716,.025180167,.0070037316,.019833818,.0073891953,.0077271666,.008999086,.018489445,.011242286,.0096613327,.011418782,.036877941,.015012098,.012732672,.012742833,.0088574914,.0072663771,.0067691403,.008810441,.0071024722,.016029326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.2099491e-08,.000012759388,1265.411,-665.51099,2.1093698,
Focus,Ford,Ford Motor firm,2014,https://www.drom.ru/catalog/ford/focus/64606/,8.3000002,589,545.37036,1.6 MT Ambiente,июль 2011 - февраль 2014,Передний,Седан,1596,14.9,150,172,Россия,4,4534 x 1823 x 1484,2648,1290,8.3999996,4.6999998,"6,0",0,7,2,2011,2014,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4534,1823,1484,6,372,85,8.2654819,3,,1,2,12,27860,Focus,Ford,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38.4217,15329.879,0,0,.006066455,.27849928,.72150075,-4.7785592,40.900002,0,39.300003,2674,0,2589,181.39999,0,175.39999,4264,0,4114,11383,0,11011,-.00080897001,1,-4.4425387,-.43851182,1,.006066455,545.37036,.006066455,.0064540463,.0094591845,.024963485,.0075806733,.02039165,.0066643907,.0064797406,.0054334621,.0063079372,.010065394,.0069047841,.016578885,.013159374,.0080237901,.0093483506,.033274047,.014286218,.014187579,.010412266,.0074289031,.0060324864,.0084745288,.007684757,.012836888,4.8778084e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243.6846,-698.31421,2.2804403,
Cruze,Chevrolet,General Motors,2014,https://www.drom.ru/catalog/chevrolet/cruze/94244/,8.3000002,913,845.37036,1.6 MT LS,январь 2013 - октябрь 2015,Передний,Седан,1598,12.5,140,185,Россия,4,4597 x 1797 x 1477,2685,1285,8.6000004,5.0999999,"7,3",0,1,10,2013,2015,1,0,0,1,0,0,0,0,0,0,1.6,1,1,4597,1797,1477,7.3,450,109,8.2608089,1,1,1,12,2,29640,Cruze,Chevrolet,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38.4217,23762.613,0,0,.0064540463,.27849928,.72150075,-4.7166262,40.900002,1.7000002,37.600002,2674,80,2485,181.39999,10.8,163.29999,4264,200,3924,11383,320,10613,-.00080897001,1,-4.6852298,-.67946547,2,.0064540463,845.37036,.006066455,.0064540463,.0094591845,.024963485,.0075806733,.02039165,.0066643907,.0064797406,.0054334621,.0063079372,.010065394,.0069047841,.016578885,.013159374,.0080237901,.0093483506,.033274047,.014286218,.014187579,.010412266,.0074289031,.0060324864,.0084745288,.007684757,.012836888,0,5.1874326e-06,-4.9387630e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256.1288,-410.75842,1.4858917,
Niva,Chevrolet,General Motors,2014,https://www.drom.ru/catalog/chevrolet/niva/68040/,7.4000001,519,480.55557,1.7 MT L,апрель 2009 - март 2015,Полный (4WD),SUV,1690,19,200,140,Россия,5,4056 x 1800 x 1652,2450,1410,14.1,8.8000002,"10,8",0,4,3,2009,2015,0,1,1,0,0,0,1,0,0,1,1.7,1,1,4056,1800,1652,10.8,320,80,7.3007998,1,1,1,12,4,43441,Niva,Chevrolet,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38.4217,13507.992,0,0,.0094591845,.27849928,.72150075,-4.3343472,40.900002,1.6000001,37.600002,2674,109,2485,181.39999,7.3000002,163.29999,4264,140,3924,11383,450,10613,-.00080897001,1,-4.3901052,-.38507774,3,.0094591845,480.55557,.006066455,.0064540463,.0094591845,.024963485,.0075806733,.02039165,.0066643907,.0064797406,.0054334621,.0063079372,.010065394,.0069047841,.016578885,.013159374,.0080237901,.0093483506,.033274047,.014286218,.014187579,.010412266,.0074289031,.0060324864,.0084745288,.007684757,.012836888,0,-4.9387630e-08,7.5798130e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256.1288,-775.57324,2.6139095,
Solaris,Hyundai,Hyundai Motor,2014,https://www.drom.ru/catalog/hyundai/solaris/93368/,8.6000004,593.9,549.90741,1.4 MT Active,июнь 2014 - январь 2017,Передний,Седан,1396,11.5,160,190,Россия,4,4375 x 1700 x 1470,2570,1130,7.5999999,4.9000001,"5,9",0,6,1,2014,2017,1,0,0,1,0,0,0,0,0,0,1.4,1,1,4375,1700,1470,5.9,470,107,7.4375,1,1,1,7,16,114644,Solaris,Hyundai,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38.4217,15457.411,0,0,.024963485,.27849928,.72150075,-3.3639193,40.900002,6.7999997,32.700001,2674,506,2061,181.39999,29.1,146.39999,4264,652,3452,11383,2035,8878,-.00080897001,1,-4.446209,-.43375337,4,.024963485,549.90741,.006066455,.0064540463,.0094591845,.024963485,.0075806733,.02039165,.0066643907,.0064797406,.0054334621,.0063079372,.010065394,.0069047841,.016578885,.013159374,.0080237901,.0093483506,.033274047,.014286218,.014187579,.010412266,.0074289031,.0060324864,.0084745288,.007684757,.012836888,0,0,0,.00001969058,-1.5308950e-07,-4.1180348e-07,-1.3458543e-07,-1.3085649e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319.8324,-769.92499,2.4000993,
