model,brand,firm,year,price,price_adj,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,tariff,firm_id,firm1,firm2,firm3,firm4,firm5,firm6,firm7,firm8,firm9,national,brand1,brand2,brand3,brand4,brand5,brand6,brand7,brand8,brand9,brand10,brand11,brand12,brand13,brand14,brand15,brand16,y2013,y2014,y2015,y2016,y2017,time,share,sumshare,logshare,share_group,share_ingroup,logshare_ingroup,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,engine_gp,engine_iv_gp,horsepower_gp,horsepower_iv_gp,fuelcons_gp,fuelcons_iv_gp,clearance_gp,clearance_iv_gp,trunk_gp,trunk_iv_gp,el,id,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
Camry,Toyota,Toyota Group,2013,969000,969000,2,148,8.300000000000001,160,506,sedan,Russia,32895,0,0,1,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.0032895,.1418948,-5.5639911,.092357799,.035616916,-3.3349347,39.799999,3.3000002,34.5,2497,247,2102,182.5,13.2,161,3703,247,3296,11003,956,9541,26.4,9.3999996,1755,446,116.1,49.799999,2358,1025,7717,2274,2.5487928,21,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0142156e-08,-7.7854556e-11,-1.0133237e-10,0,0,330172.66,638827.38,.34073547,0
Corolla,Toyota,Toyota Group,2013,642000,642000,1.3,101,5.8,150,450,sedan,Japan,30644,0,0,1,0,0,.25,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.0030644001,.1418948,-5.6348748,.092357799,.033179656,-3.4058185,39.799999,4,34.5,2497,294,2102,182.5,15.7,161,3703,257,3296,11003,1012,9541,27.1,10.099999,1802,493,118.6,52.299999,2368,1035,7773,2330,1.6890553,22,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.7854556e-11,9.4534585e-09,-9.4398205e-11,0,0,330172.63,311827.38,.51428759,.30000001
Rav 4,Toyota,Toyota Group,2013,1052000,1052000,2,146,7.4,97,506,SUV,Japan,39885,1,0,0,0,0,.25,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.0039885002,.1418948,-5.3713112,.092357799,.043185309,-3.1422548,39.799999,3.3000002,34.5,2497,249,2102,182.5,14.1,161,3703,310,3296,11003,956,9541,26.4,9.3999996,1757,448,117,50.699997,2421,1088,7717,2274,2.7651699,23,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0133237e-10,-9.4398205e-11,1.2275775e-08,0,0,330172.66,721827.38,.31385234,.30000001
Octavia a5,Skoda,Volkswagen AG,2013,574000,574000,1.4,80,7,164,560,hatchback,?,32153,0,1,0,0,0,.25,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.0032152999,.1418948,-5.5868063,.092357799,.03481352,-3.3577495,39.799999,1.1999999,37.200001,2497,60,2357,182.5,5.5,170,3703,2,3537,11003,280,10163,27,10,1823,514,117.4,51.099998,2354,1021,7663,2220,1.5099237,24,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9152260e-09,-1.8020108e-10,330281.63,243718.38,.57540351,.30000001
Polo,Volkswagen,Volkswagen AG,2013,525000,525000,1.2,60,5.5,2,280,hatchback,Germany,72565,0,1,0,0,0,.25,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.0072565,.1418948,-4.7728291,.092357799,.078569435,-2.5437725,39.799999,1.3999999,37.200001,2497,80,2357,182.5,7,170,3703,164,3537,11003,560,10163,27.199999,10.2,1843,534,118.9,52.599998,2516,1183,7943,2500,1.3754287,25,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8020106e-10,2.2150845e-08,330281.63,194718.38,.62910783,.30000001
Focus,Ford,Ford Motor firm,2014,660000,610828.31,1.6,105,5.9,150,277,hatchback,Russia,27860,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.002786,.1278999,-5.7462974,.086123303,.032348968,-3.4311731,40.799999,2.3841858e-08,39.200001,2721,0,2616,180.7,9.5367433e-08,174.8,4049,0,3899,11403,0,11126,29.4,8.1999989,2102,409,124.6,44.299995,2879,870,8676,2173,1.7368969,1,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,8.5977474e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324038.38,335961.63,.49096724,0
Cruze,Chevrolet,General Motors,2014,913000,844979.19,1.6,109,7.3,140,450,sedan,Russia,29640,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.002964,.1278999,-5.6843643,.086123303,.034415774,-3.3692403,40.799999,1.6999999,37.5,2721,80,2532,180.7,10.8,162.59999,4049,200,3709,11403,320,10633,29.4,8.1999989,2098,405,123.2,42.899998,2889,880,8503,2000,2.4022784,2,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,9.1427959e-09,-3.3979718e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325412,587588,.35642058,0
Niva,Chevrolet,General Motors,2014,519000,480333.19,1.7,80,10.8,200,320,SUV,Russia,43441,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0043441001,.1278999,-5.3020854,.041776601,.10398405,-2.2635179,40.799999,1.5999999,37.5,2721,109,2532,180.7,7.3000002,162.59999,4049,140,3709,11403,450,10633,8.1000004,29.299999,434,2127,39.400002,119.7,820,2829,2130,8633,1.3636985,3,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,-3.3979718e-11,1.3242137e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328886.31,190113.69,.63369232,0
Solaris,Hyundai,Hyundai Motor,2014,593900,549652.94,1.4,107,5.9,160,470,sedan,Russia,114644,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0114644,.1278999,-4.3316574,.086123303,.13311613,-2.0165334,40.799999,6.7999997,32.599998,2721,506,2108,180.7,29.1,145.7,4049,552,3337,11403,2035,8898,29.6,8.3999996,2100,407,124.6,44.299995,2869,860,8483,1980,1.5493423,4,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,3.4574722e-08,-3.2294781e-10,-2.7604644e-10,-8.6871416e-10,-2.8391281e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349278.41,244621.59,.58810979,0
ix35,Hyundai,Hyundai Motor,2014,1079900,999444.69,2,149,8.6,75,591,SUV,Slovakia,34814,1,0,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0034814,.1278999,-5.5234699,.086123303,.040423438,-3.2083454,40.799999,6.1999998,32.599998,2721,464,2108,180.7,26.4,145.7,4049,637,3337,11403,1914,8898,29,7.7999992,2058,365,121.9,41.599998,2954,945,8362,1859,2.8399498,5,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-3.2294781e-10,1.0724200e-08,-8.3827154e-11,-2.6380284e-10,-8.6215937e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349278.41,730621.63,.32343587,.30000001
Cee'd,Kia,Hyundai Motor,2014,609900,564460.88,1.4,100,6.1,150,380,hatchback,?,29758,0,1,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0029758001,.1278999,-5.6803913,.086123303,.034552786,-3.365267,40.799999,6.7999997,32.599998,2721,513,2108,180.7,28.9,145.7,4049,562,3337,11403,2125,8898,29.6,8.3999996,2107,414,124.4,44.099998,2879,870,8573,2070,1.6047451,6,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-2.7604644e-10,-8.3827154e-11,9.1789110e-09,-2.2549104e-10,-7.3694890e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349278.41,260621.59,.57268143,.30000001
Rio,Kia,Hyundai Motor,2014,514900,476538.63,1.4,107,5.9,160,500,sedan,Russia,93648,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0093647996,.1278999,-4.533946,.086123303,.10873712,-2.218822,40.799999,6.7999997,32.599998,2721,506,2108,180.7,29.1,145.7,4049,552,3337,11403,2005,8898,29.6,8.3999996,2100,407,124.6,44.299995,2869,860,8453,1950,1.3461033,7,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-8.6871416e-10,-2.6380284e-10,-2.2549104e-10,2.8401772e-08,-2.3191676e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349278.44,165621.56,.67834228,0
Sportage,Kia,Hyundai Motor,2014,874900,809717.75,2,150,8.5,167,564,SUV,?,30606,1,0,0,0,0,.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0030606,.1278999,-5.6522932,.086123303,.035537422,-3.3371689,40.799999,6.1999998,32.599998,2721,463,2108,180.7,26.5,145.7,4049,545,3337,11403,1941,8898,29,7.7999992,2057,364,122,41.699997,2862,853,8389,1886,2.3018069,8,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,-2.8391281e-10,-8.6215937e-11,-7.3694897e-11,-2.3191676e-10,9.4383772e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349278.44,525621.56,.39922097,.30000001
Cx-5,Mazda,Mazda Motor Corporation,2014,1046000,968070.31,2,150,6.2,215,403,SUV,?,24953,1,0,0,0,0,.25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0024953,.1278999,-5.8564954,.086123303,.028973576,-3.5413711,40.799999,0,38.799999,2721,0,2571,180.7,-1.9073487e-07,174.5,4049,0,3834,11403,0,11000,29,7.7999992,2057,364,124.3,43.999996,2814,805,8550,2047,2.7535207,9,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,7.7065012e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323791.56,722208.44,.30955216,.30000001
Outlander,Mitsubishi,Mitshubishi Group,2014,999000,924571.94,2,146,7.5,215,591,SUV,?,28969,1,0,0,0,0,.25,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.0028969001,.1278999,-5.707263,.086123303,.033636659,-3.3921387,40.799999,0,38.799999,2721,0,2575,180.7,0,173.2,4049,0,3834,11403,0,10812,29,7.7999992,2061,368,123,42.699997,2814,805,8362,1859,2.6287379,10,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,8.9373913e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324132.63,674867.38,.32445708,.30000001
4x4,Lada,Renault Group,2014,394500,365108.75,1.7,83,9.9,205,265,SUV,Russia,42932,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0042932001,.1278999,-5.3138719,.041776601,.10276566,-2.2753041,40.799999,13.5,25.599998,2721,827,1811,180.7,63.699997,107.1,4049,1480,2364,11403,4100,7038,8.1000004,29.299999,431,2124,40.299999,120.6,815,2824,2185,8688,1.0366215,11,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,1.3090012e-08,-9.1054614e-10,-3.9094314e-10,-3.8824385e-10,-2.8493222e-10,-2.7544006e-10,-3.5926845e-11,-8.6262955e-11,-6.8470611e-11,-4.1749239e-11,0,0,0,0,0,402524.5,-8024.5,1.0203409,0
Granta,Lada,Renault Group,2014,289000,267468.75,1.6,82,7.4,160,520,sedan,Russia,152810,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.015281,.1278999,-4.0442939,.041776601,.36577892,-1.0057262,40.799999,13.599999,25.599998,2721,828,1811,180.7,66.199997,107.1,4049,1525,2364,11403,3845,7038,8.1999998,29.4,432,2125,42.799999,123.1,860,2869,1930,8433,.75102067,12,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-9.1054614e-10,4.4261522e-08,-1.3915032e-09,-1.3818956e-09,-1.0141734e-09,-9.8038744e-10,-1.2787621e-10,-3.0704000e-10,-2.4371086e-10,-1.4860015e-10,0,0,0,0,0,402524.5,-113524.5,1.3928183,0
Kalina,Lada,Renault Group,2014,355600,329106.91,1.6,87,7,145,355,universal,Russia,65609,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0065608998,.1278999,-4.8897762,.041776601,.15704724,-1.8512086,40.799999,13.599999,25.599998,2721,823,1811,180.7,66.599998,107.1,4049,1540,2364,11403,4010,7038,8.1999998,29.4,427,2120,43.200001,123.5,875,2884,2095,8598,.93227649,13,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-3.9094314e-10,-1.3915032e-09,1.9797753e-08,-5.9331712e-10,-4.3543552e-10,-4.2092951e-10,-5.4903668e-11,-1.3182767e-10,-1.0463729e-10,-6.3801492e-11,0,0,0,0,0,402524.47,-46924.469,1.1319586,0
Largus,Lada,Renault Group,2014,444000,410920.88,1.6,84,8.199999999999999,145,560,universal,Russia,65156,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0065155998,.1278999,-4.8967052,.041776601,.1559629,-1.8581371,40.799999,13.599999,25.599998,2721,826,1811,180.7,65.400002,107.1,4049,1540,2364,11403,3805,7038,8.1999998,29.4,430,2123,42,122.3,875,2884,1890,8393,1.1640879,14,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-3.8824385e-10,-1.3818956e-09,-5.9331706e-10,1.9665155e-08,-4.3242904e-10,-4.1802317e-10,-5.4524583e-11,-1.3091747e-10,-1.0391482e-10,-6.3360976e-11,0,0,0,0,0,402524.5,41475.5,.90658671,0
Priora,Lada,Renault Group,2014,449000,415548.34,1.6,98,6.9,165,430,sedan,Russia,47818,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.0047817999,.1278999,-5.2060871,.041776601,.1144612,-2.1675193,40.799999,13.599999,25.599998,2721,812,1811,180.7,66.699997,107.1,4049,1520,2364,11403,3935,7038,8.1999998,29.4,416,2109,43.299999,123.6,855,2864,2020,8523,1.1792513,15,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-2.8493222e-10,-1.0141734e-09,-4.3543549e-10,-4.3242904e-10,1.4547330e-08,-3.0678729e-10,-4.0015602e-11,-9.6080352e-11,-7.6263107e-11,-4.6500630e-11,0,0,0,0,0,402524.5,46475.5,.89649111,0
Almera,Nissan,Renault Group,2014,626000,579361.44,1.6,102,7.2,160,500,sedan,Russia,46225,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,.0046224999,.1278999,-5.2399688,.086123303,.053673044,-2.9248443,40.799999,13.599999,25.599998,2721,808,1811,180.7,66.400002,107.1,4049,1525,2364,11403,3865,7038,29.4,8.1999989,2105,412,123.3,42.999996,2869,860,8453,1950,1.6443864,16,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-5.2372075e-11,-1.8641053e-10,-8.0035388e-11,-7.9482781e-11,-5.8332429e-11,1.4196596e-08,-1.1860424e-10,-2.8477734e-10,-2.2604001e-10,-1.3782553e-10,0,0,0,0,0,357729.97,268270.03,.57145363,0
Qashqai,Nissan,Renault Group,2014,989000,915317,1.2,115,6.2,190,430,SUV,GB,31710,1,0,0,0,0,.25,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,.0031709999,.1278999,-5.6168571,.086123303,.036819302,-3.301733,40.799999,14,25.599998,2721,795,1811,180.7,67.400002,107.1,4049,1495,2364,11403,3935,7038,29.799999,8.5999994,2092,399,124.3,43.999996,2839,830,8523,2020,2.6017089,17,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-3.5926845e-11,-1.2787621e-10,-5.4903668e-11,-5.4524583e-11,-4.0015602e-11,-3.8682529e-11,9.7759996e-09,-1.9535509e-10,-1.5506174e-10,-9.4547273e-11,0,0,0,0,0,354829.59,634170.38,.35877612,.30000001
Duster,Renault,Renault Group,2014,584000,540490.5,1.6,102,7.6,205,475,SUV,Russia,76138,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.0076138,.1278999,-4.740942,.086123303,.088405803,-2.4258177,40.799999,13.599999,25.599998,2721,808,1811,180.7,66,107.1,4049,1480,2364,11403,3890,7038,29.4,8.1999989,2105,412,122.9,42.599998,2824,815,8478,1975,1.5294501,18,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-8.6262955e-11,-3.0704000e-10,-1.3182767e-10,-1.3091747e-10,-9.6080352e-11,-9.2879551e-11,-1.9535509e-10,2.3199176e-08,-3.7231443e-10,-2.2701482e-10,0,0,0,0,0,354829.56,229170.44,.60758489,0
Logan,Renault,Renault Group,2014,534000,494215.66,1.6,82,7.2,155,510,sedan,Russia,60434,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.0060434001,.1278999,-4.9719377,.086123303,.070171483,-2.6568134,40.799999,13.599999,25.599998,2721,828,1811,180.7,66.400002,107.1,4049,1530,2364,11403,3855,7038,29.4,8.1999989,2125,432,123.3,42.999996,2874,865,8443,1940,1.400717,19,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-6.8470611e-11,-2.4371086e-10,-1.0463729e-10,-1.0391482e-10,-7.6263107e-11,-7.3722493e-11,-1.5506173e-10,-3.7231443e-10,1.8490974e-08,-1.8019142e-10,0,0,0,0,0,354829.59,179170.41,.6644749,0
Sandero,Renault,Renault Group,2014,419000,387783.44,1.1,75,6,155,320,hatchback,Russia,36849,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.0036849,.1278999,-5.466661,.086123303,.04278633,-3.1515367,40.799999,14.099999,25.599998,2721,835,1811,180.7,67.599998,107.1,4049,1530,2364,11403,4045,7038,29.9,8.6999989,2132,439,124.5,44.199997,2874,865,8633,2130,1.1016724,20,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,-4.1749239e-11,-1.4860015e-10,-6.3801492e-11,-6.3360976e-11,-4.6500630e-11,-4.4951518e-11,-9.4547273e-11,-2.2701484e-10,-1.8019143e-10,1.1345000e-08,0,0,0,0,0,354829.59,64170.406,.84684867,0
Camry,Toyota,Toyota Group,2014,969000,896807.06,2,148,8.300000000000001,160,506,sedan,Russia,34117,0,0,1,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,.0034117,.1278999,-5.5436935,.086123303,.039614134,-3.2285693,40.799999,3.3000002,35.5,2721,245,2328,180.7,13.3,159.09999,4049,347,3542,11403,958,9939,29,7.7999992,2059,366,122.2,41.899998,2869,860,8447,1944,2.5484803,21,.002786,.002964,.0043441001,.0114644,.0034814,.0029758001,.0093647996,.0030606,.0024953,.0028969001,.0042932001,.015281,.0065608998,.0065155998,.0047817999,.0046224999,.0031709999,.0076138,.0060434001,.0036849,.0034117,.0027703999,.0038918999,.0035292001,.0058952998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0511418e-08,-7.6478678e-11,-1.0743841e-10,0,0,330350.97,638649,.34091946,0
