model,brand,firm,year,price,price_adj,engine,horsepower,fuelcons,clearance,trunk,body,country,quantity,body1,body2,body3,body4,russia,tariff,firm_id,firm1,firm2,firm3,firm4,firm5,firm6,firm7,firm8,firm9,national,brand1,brand2,brand3,brand4,brand5,brand6,brand7,brand8,brand9,brand10,brand11,brand12,brand13,brand14,brand15,brand16,y2013,y2014,y2015,y2016,y2017,time,share,sumshare,logshare,share_group,share_ingroup,logshare_ingroup,engine_yr,engine_fm,engine_iv,horsepower_yr,horsepower_fm,horsepower_iv,fuelcons_yr,fuelcons_fm,fuelcons_iv,clearance_yr,clearance_fm,clearance_iv,trunk_yr,trunk_fm,trunk_iv,engine_gp,engine_iv_gp,horsepower_gp,horsepower_iv_gp,fuelcons_gp,fuelcons_iv_gp,clearance_gp,clearance_iv_gp,trunk_gp,trunk_iv_gp,el,id,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,share11,share12,share13,share14,share15,share16,share17,share18,share19,share20,share21,share22,share23,share24,share25,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta14,delta15,delta16,delta17,delta18,delta19,delta20,delta21,delta22,delta23,delta24,delta25,markup,mc,margins,counter_tariff
4x4,Lada,Renault Group,2013,351500,351500,1.7,83,9.9,205,265,SUV,Russia,51693,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0051692999,.1418948,-5.1119895,.049536999,.1043523,-2.2599826,39.799999,14,24.099998,2497,797,1617,182.5,65.400002,107.2,3703,1495,2003,11003,3910,6828,9.6999998,26.699999,511,1820,48.199997,114.5,980,2313,2515,7958,.92281836,11,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,1.5745446e-08,-1.0458214e-09,-4.2572804e-10,-3.6108577e-10,-3.6137396e-10,-2.5118957e-10,-5.5575558e-11,-1.1418506e-10,-6.9428858e-11,-5.9665384e-11,0,0,0,0,0,396660.03,-45160.031,1.1284781,0
Granta,Lada,Renault Group,2013,289000,289000,1.6,82,7.4,160,520,sedan,Russia,166947,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0166947,.1418948,-3.9396353,.049536999,.33701476,-1.0876285,39.799999,14.099999,24.099998,2497,798,1617,182.5,67.900002,107.2,3703,1540,2003,11003,3655,6828,9.7999992,26.799999,512,1821,50.699997,117,1025,2358,2260,7703,.74994248,12,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-1.0458213e-09,4.8519528e-08,-1.3749255e-09,-1.1661576e-09,-1.1670883e-09,-8.1123841e-10,-1.7948606e-10,-3.6877051e-10,-2.2422650e-10,-1.9269451e-10,0,0,0,0,0,396660.03,-107660.03,1.372526,0
Kalina,Lada,Renault Group,2013,334500,334500,1.6,87,7,145,355,universal,Russia,67960,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0067960001,.1418948,-4.8383923,.049536999,.13719039,-1.9863856,39.799999,14.099999,24.099998,2497,793,1617,182.5,68.300003,107.2,3703,1555,2003,11003,3820,6828,9.7999992,26.799999,507,1816,51.099998,117.4,1040,2373,2425,7868,.87675107,13,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-4.2572804e-10,-1.3749255e-09,2.0566327e-08,-4.7471399e-10,-4.7509285e-10,-3.3023512e-10,-7.3064346e-11,-1.5011738e-10,-9.1277069e-11,-7.8441177e-11,0,0,0,0,0,396660.06,-62160.063,1.1858298,0
Largus,Lada,Renault Group,2013,444000,444000,1.6,84,8.199999999999999,145,560,universal,Russia,57641,0,0,0,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0057640998,.1418948,-5.0030775,.049536999,.11635949,-2.1510708,39.799999,14.099999,24.099998,2497,796,1617,182.5,67.100006,107.2,3703,1555,2003,11003,3615,6828,9.7999992,26.799999,510,1819,49.899998,116.2,1040,2373,2220,7663,1.1649684,14,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-3.6108577e-10,-1.1661577e-09,-4.7471399e-10,1.7515630e-08,-4.0295506e-10,-2.8009242e-10,-6.1970304e-11,-1.2732365e-10,-7.7417614e-11,-6.6530718e-11,0,0,0,0,0,396660.06,47339.938,.8933785,0
Priora,Lada,Renault Group,2013,334000,334000,1.6,98,7.2,165,430,sedan,Russia,57687,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0057687,.1418948,-5.0022798,.049536999,.11645235,-2.1502731,39.799999,14.099999,24.099998,2497,782,1617,182.5,68.100006,107.2,3703,1535,2003,11003,3745,6828,9.7999992,26.799999,496,1805,50.899998,117.2,1020,2353,2350,7793,.87634605,15,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-3.6137396e-10,-1.1670883e-09,-4.7509285e-10,-4.0295506e-10,1.7529288e-08,-2.8031596e-10,-6.2019757e-11,-1.2742526e-10,-7.7479405e-11,-6.6583815e-11,0,0,0,0,0,396660.03,-62660.031,1.1876049,0
Samara,Lada,Renault Group,2013,285000,285000,1.6,80,7.6,165,330,sedan,Russia,40098,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0040098,.1418948,-5.3659854,.049536999,.080945559,-2.5139785,39.799999,14.099999,24.099998,2497,800,1617,182.5,67.700005,107.2,3703,1535,2003,11003,3845,6828,9.7999992,26.799999,514,1823,50.5,116.8,1020,2353,2450,7893,.74910319,16,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-2.5118957e-10,-8.1123841e-10,-3.3023512e-10,-2.8009242e-10,-2.8031596e-10,1.2270006e-08,-4.3109682e-11,-8.8572781e-11,-5.3855618e-11,-4.6282138e-11,0,0,0,0,0,396660.03,-111660.03,1.3917896,0
Qashqai,Nissan,Renault Group,2013,849000,849000,1.6,114,6.6,200,410,SUV,GB,40739,1,0,0,0,0,.25,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.0040739002,.1418948,-5.3501258,.092357799,.044109974,-3.1210694,39.799999,14.099999,24.099998,2497,766,1617,182.5,68.700005,107.2,3703,1500,2003,11003,3765,6828,26.799999,9.7999992,1789,480,117.8,51.5,2318,985,7813,2370,2.2313955,17,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-5.5575558e-11,-1.7948606e-10,-7.3064346e-11,-6.1970304e-11,-6.2019757e-11,-4.3109682e-11,1.2535931e-08,-2.6336308e-10,-1.6013477e-10,-1.3761571e-10,0,0,0,0,0,355947.22,493052.78,.41925466,.30000001
Duster,Renault,Renault Group,2013,584000,584000,1.6,102,7.6,205,475,SUV,Russia,83702,1,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.0083702002,.1418948,-4.6300488,.092357799,.090627976,-2.4009924,39.799999,14.099999,24.099998,2497,778,1617,182.5,67.700005,107.2,3703,1495,2003,11003,3700,6828,26.799999,9.7999992,1801,492,116.8,50.5,2313,980,7748,2305,1.5282843,18,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-1.1418506e-10,-3.6877051e-10,-1.5011738e-10,-1.2732365e-10,-1.2742526e-10,-8.8572781e-11,-2.6336308e-10,2.5478476e-08,-3.2901151e-10,-2.8274408e-10,0,0,0,0,0,355947.22,228052.78,.60949868,0
Logan,Renault,Renault Group,2013,409000,409000,1.4,75,6.9,155,510,sedan,Russia,50894,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.0050893999,.1418948,-5.1275668,.092357799,.055105254,-2.8985102,39.799999,14.3,24.099998,2497,805,1617,182.5,68.400002,107.2,3703,1545,2003,11003,3665,6828,27,10,1828,519,117.5,51.199997,2363,1030,7713,2270,1.0738635,19,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-6.9428858e-11,-2.2422650e-10,-9.1277069e-11,-7.7417614e-11,-7.7479405e-11,-5.3855618e-11,-1.6013477e-10,-3.2901151e-10,1.5620842e-08,-1.7191915e-10,0,0,0,0,0,355947.25,53052.75,.8702867,0
Sandero,Renault,Renault Group,2013,380000,380000,1.4,75,6.9,155,320,hatchback,Russia,43737,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.0043736999,.1418948,-5.2791176,.092357799,.047356043,-3.0500607,39.799999,14.3,24.099998,2497,805,1617,182.5,68.400002,107.2,3703,1545,2003,11003,3855,6828,27,10,1828,519,117.5,51.199997,2363,1030,7903,2460,.99843937,20,.0067142001,.0054366998,.0053344001,.0028897999,.0042039999,.0113991,.0031705999,.0034981,.0089787999,.0033451,.0051692999,.0166947,.0067960001,.0057640998,.0057687,.0040098,.0040739002,.0083702002,.0050893999,.0043736999,.0032895,.0030644001,.0039885002,.0032152999,.0072565,0,0,0,0,0,0,0,0,0,0,-5.9665384e-11,-1.9269451e-10,-7.8441177e-11,-6.6530718e-11,-6.6583815e-11,-4.6282138e-11,-1.3761571e-10,-2.8274405e-10,-1.7191913e-10,1.3448328e-08,0,0,0,0,0,355947.22,24052.781,.93670321,0
